# Modularity: 0.721650
# Modularity (with diagonal): 0.717021
Label                         	Module	Connectivity	Participation	Role
264                           	8	0.000000	0.000000	R1
289                           	8	0.000000	0.000000	R1
274                           	8	0.000000	0.000000	R1
275                           	8	0.000000	0.000000	R1
287                           	8	0.000000	0.000000	R1
172                           	18	0.700060	0.152778	R2
169                           	18	0.700060	0.152778	R2
175                           	18	0.700060	0.152778	R2
180                           	18	1.212780	0.394464	R2
178                           	18	0.700060	0.152778	R2
171                           	18	1.469139	0.124444	R2
173                           	18	0.700060	0.152778	R2
179                           	18	0.700060	0.272189	R2
174                           	18	0.700060	0.152778	R2
177                           	18	0.700060	0.152778	R2
301                           	4	1.000000	0.000000	R1
294                           	4	1.000000	0.000000	R1
311                           	4	1.000000	0.000000	R1
295                           	4	1.000000	0.000000	R1
292                           	4	1.000000	0.000000	R1
293                           	4	1.000000	0.000000	R1
303                           	4	1.000000	0.000000	R1
272                           	18	-0.838100	0.448980	R2
260                           	18	-0.838100	0.448980	R2
132                           	1	0.685767	0.476800	R2
265                           	18	-0.838100	0.448980	R2
276                           	18	-0.838100	0.448980	R2
261                           	18	-0.838100	0.448980	R2
380                           	2	0.000000	0.000000	R1
382                           	2	0.000000	0.000000	R1
381                           	2	0.000000	0.000000	R1
328                           	6	0.000000	0.000000	R1
333                           	6	0.000000	0.000000	R1
329                           	6	0.000000	0.000000	R1
334                           	6	0.000000	0.000000	R1
332                           	6	0.000000	0.000000	R1
220                           	18	2.238219	0.104938	R2
230                           	18	0.187340	0.000000	R1
231                           	18	0.187340	0.000000	R1
224                           	18	0.187340	0.000000	R1
212                           	18	-0.069020	0.197531	R2
225                           	18	-0.069020	0.197531	R2
218                           	18	-0.069020	0.197531	R2
217                           	18	-0.069020	0.197531	R2
214                           	18	0.187340	0.000000	R1
223                           	18	-0.069020	0.197531	R2
210                           	18	-0.069020	0.197531	R2
222                           	18	-0.069020	0.197531	R2
213                           	18	0.187340	0.000000	R1
226                           	18	0.187340	0.000000	R1
211                           	18	-0.069020	0.197531	R2
216                           	18	0.187340	0.000000	R1
227                           	18	0.187340	0.000000	R1
215                           	18	0.187340	0.000000	R1
312                           	11	0.000000	0.000000	R1
315                           	11	0.000000	0.000000	R1
314                           	11	0.000000	0.000000	R1
313                           	11	0.000000	0.000000	R1
316                           	11	0.000000	0.000000	R1
318                           	11	0.000000	0.000000	R1
297                           	18	-1.350819	0.611111	R2
298                           	18	-1.350819	0.611111	R2
327                           	0	-1.107823	0.375000	R2
321                           	0	-1.107823	0.375000	R2
374                           	9	0.000000	0.000000	R1
373                           	9	0.000000	0.000000	R1
390                           	9	0.000000	0.000000	R1
330                           	19	-1.317137	0.000000	R1
335                           	19	-1.317137	0.000000	R1
341                           	19	-1.317137	0.000000	R1
131                           	1	0.685767	0.104938	R2
136                           	1	0.685767	0.104938	R2
384                           	19	-1.535589	0.000000	R1
142                           	1	0.685767	0.104938	R2
128                           	1	0.685767	0.104938	R2
138                           	1	0.685767	0.104938	R2
126                           	1	0.984824	0.176871	R2
141                           	1	0.685767	0.104938	R2
133                           	1	0.685767	0.104938	R2
137                           	1	0.984824	0.095000	R2
140                           	1	0.685767	0.104938	R2
134                           	1	0.685767	0.104938	R2
135                           	1	0.685767	0.104938	R2
139                           	1	0.685767	0.104938	R2
129                           	1	0.685767	0.104938	R2
130                           	1	0.685767	0.104938	R2
127                           	1	0.685767	0.104938	R2
196                           	18	-0.325380	0.460000	R2
195                           	18	-0.325380	0.460000	R2
194                           	18	-0.325380	0.460000	R2
198                           	18	-0.325380	0.460000	R2
199                           	18	-0.325380	0.460000	R2
197                           	18	-0.325380	0.460000	R2
200                           	18	-0.325380	0.460000	R2
201                           	18	-0.325380	0.460000	R2
268                           	18	-0.325380	0.000000	R1
271                           	18	-0.325380	0.000000	R1
266                           	18	-0.325380	0.000000	R1
267                           	18	-0.325380	0.000000	R1
256                           	18	-0.325380	0.000000	R1
269                           	18	-0.325380	0.000000	R1
270                           	18	-0.325380	0.000000	R1
393                           	15	-4.355267	0.000000	R1
394                           	15	-4.355267	0.000000	R1
379                           	3	-1.066908	0.000000	R1
378                           	3	-0.774031	0.000000	R1
350                           	18	-1.350819	0.000000	R1
357                           	18	-1.350819	0.000000	R1
352                           	18	-1.350819	0.000000	R1
285                           	3	0.397476	0.000000	R1
257                           	3	0.397476	0.000000	R1
277                           	3	0.397476	0.000000	R1
259                           	3	0.397476	0.000000	R1
262                           	3	0.397476	0.000000	R1
286                           	3	0.397476	0.000000	R1
258                           	3	0.397476	0.000000	R1
324                           	1	-0.959043	0.000000	R1
325                           	1	-0.659987	0.000000	R1
326                           	1	-0.959043	0.000000	R1
340                           	1	-0.959043	0.000000	R1
363                           	1	-1.407628	0.000000	R1
375                           	13	-2.871803	0.000000	R1
383                           	13	-2.871803	0.000000	R1
337                           	7	-1.183216	0.000000	R1
336                           	7	-1.183216	0.000000	R1
338                           	7	-1.183216	0.000000	R1
339                           	7	-1.183216	0.000000	R1
371                           	1	-1.557156	0.444444	R2
372                           	1	-1.557156	0.444444	R2
360                           	1	-1.407628	0.000000	R1
361                           	1	-1.407628	0.000000	R1
185                           	20	0.000000	0.000000	R1
188                           	20	0.000000	0.000000	R1
189                           	20	0.000000	0.000000	R1
192                           	20	0.000000	0.000000	R1
181                           	20	0.000000	0.000000	R1
182                           	20	0.000000	0.000000	R1
184                           	20	0.000000	0.000000	R1
190                           	20	0.000000	0.000000	R1
183                           	20	0.000000	0.000000	R1
186                           	20	0.000000	0.000000	R1
191                           	20	0.000000	0.000000	R1
187                           	20	0.000000	0.000000	R1
388                           	10	0.000000	0.000000	R1
389                           	10	0.000000	0.000000	R1
397                           	10	0.000000	0.000000	R1
368                           	1	-1.407628	0.000000	R1
366                           	1	-1.407628	0.000000	R1
369                           	16	0.000000	0.000000	R1
364                           	16	0.000000	0.000000	R1
365                           	16	0.000000	0.000000	R1
370                           	16	0.000000	0.000000	R1
404                           	3	-1.359785	0.000000	R1
